Month;Passengers0;Date0
1949-01;112.0;711493.0
1949-02;118.0;711524.0
1949-03;132.0;711552.0
1949-04;129.0;711583.0
1949-05;121.0;711613.0
1949-06;135.0;711644.0
1949-07;148.0;711674.0
1949-08;148.0;711705.0
1949-09;136.0;711736.0
1949-10;119.0;711766.0
1949-11;104.0;711797.0
1949-12;118.0;711827.0
1950-01;115.0;711858.0
1950-02;126.0;711889.0
1950-03;141.0;711917.0
1950-04;135.0;711948.0
1950-05;125.0;711978.0
1950-06;149.0;712009.0
1950-07;170.0;712039.0
1950-08;170.0;712070.0
1950-09;158.0;712101.0
1950-10;133.0;712131.0
1950-11;114.0;712162.0
1950-12;140.0;712192.0
1951-01;145.0;712223.0
1951-02;150.0;712254.0
1951-03;178.0;712282.0
1951-04;163.0;712313.0
1951-05;172.0;712343.0
1951-06;178.0;712374.0
1951-07;199.0;712404.0
1951-08;199.0;712435.0
1951-09;184.0;712466.0
1951-10;162.0;712496.0
1951-11;146.0;712527.0
1951-12;166.0;712557.0
1952-01;171.0;712588.0
1952-02;180.0;712619.0
1952-03;193.0;712648.0
1952-04;181.0;712679.0
1952-05;183.0;712709.0
1952-06;218.0;712740.0
1952-07;230.0;712770.0
1952-08;242.0;712801.0
1952-09;209.0;712832.0
1952-10;191.0;712862.0
1952-11;172.0;712893.0
1952-12;194.0;712923.0
1953-01;196.0;712954.0
1953-02;196.0;712985.0
1953-03;236.0;713013.0
1953-04;235.0;713044.0
1953-05;229.0;713074.0
1953-06;243.0;713105.0
1953-07;264.0;713135.0
1953-08;272.0;713166.0
1953-09;237.0;713197.0
1953-10;211.0;713227.0
1953-11;180.0;713258.0
1953-12;201.0;713288.0
1954-01;204.0;713319.0
1954-02;188.0;713350.0
1954-03;235.0;713378.0
1954-04;227.0;713409.0
1954-05;234.0;713439.0
1954-06;264.0;713470.0
1954-07;302.0;713500.0
1954-08;293.0;713531.0
1954-09;259.0;713562.0
1954-10;229.0;713592.0
1954-11;203.0;713623.0
1954-12;229.0;713653.0
1955-01;242.0;713684.0
1955-02;233.0;713715.0
1955-03;267.0;713743.0
1955-04;269.0;713774.0
1955-05;270.0;713804.0
1955-06;315.0;713835.0
1955-07;364.0;713865.0
1955-08;347.0;713896.0
1955-09;312.0;713927.0
1955-10;274.0;713957.0
1955-11;237.0;713988.0
1955-12;278.0;714018.0
1956-01;284.0;714049.0
1956-02;277.0;714080.0
1956-03;317.0;714109.0
1956-04;313.0;714140.0
1956-05;318.0;714170.0
1956-06;374.0;714201.0
1956-07;413.0;714231.0
1956-08;405.0;714262.0
1956-09;355.0;714293.0
1956-10;306.0;714323.0
1956-11;271.0;714354.0
1956-12;306.0;714384.0
1957-01;315.0;714415.0
1957-02;301.0;714446.0
1957-03;356.0;714474.0
1957-04;348.0;714505.0
1957-05;355.0;714535.0
1957-06;422.0;714566.0
1957-07;465.0;714596.0
1957-08;467.0;714627.0
1957-09;404.0;714658.0
1957-10;347.0;714688.0
1957-11;305.0;714719.0
1957-12;336.0;714749.0
1958-01;340.0;714780.0
1958-02;318.0;714811.0
1958-03;362.0;714839.0
1958-04;348.0;714870.0
1958-05;363.0;714900.0
1958-06;435.0;714931.0
1958-07;491.0;714961.0
1958-08;505.0;714992.0
1958-09;404.0;715023.0
1958-10;359.0;715053.0
1958-11;310.0;715084.0
1958-12;337.0;715114.0
1959-01;360.0;715145.0
1959-02;342.0;715176.0
1959-03;406.0;715204.0
1959-04;396.0;715235.0
1959-05;420.0;715265.0
1959-06;472.0;715296.0
1959-07;548.0;715326.0
1959-08;559.0;715357.0
1959-09;463.0;715388.0
1959-10;407.0;715418.0
1959-11;362.0;715449.0
1959-12;405.0;715479.0
1960-01;417.0;715510.0
1960-02;391.0;715541.0
1960-03;419.0;715570.0
1960-04;461.0;715601.0
1960-05;472.0;715631.0
1960-06;535.0;715662.0
1960-07;622.0;715692.0
1960-08;606.0;715723.0
1960-09;508.0;715754.0
1960-10;461.0;715784.0
1960-11;390.0;715815.0
